user_id,interaction_count
0,19
1,17
2,17
3,18
4,110
5,33
7,11
9,22
11,27
13,69
14,209
17,17
21,14
23,18
24,12
26,15
28,23
30,12
31,57
34,35
36,43
40,23
41,19
43,21
45,90
46,19
47,29
48,11
49,25
51,11
52,11
54,18
55,31
57,88
60,26
67,12
68,22
69,29
71,37
72,47
73,22
74,12
76,42
77,15
78,29
79,19
80,23
83,21
84,47
88,24
90,12
91,49
92,41
95,40
96,26
97,75
98,105
101,11
102,35
103,13
106,34
108,16
110,38
111,35
113,61
114,66
115,35
116,78
117,17
120,18
121,33
122,25
124,47
125,44
126,28
127,15
128,56
129,11
131,58
132,50
135,30
136,21
137,11
143,43
144,23
147,27
149,13
152,17
154,23
163,34
172,12
173,58
175,13
176,34
181,22
182,57
183,29
188,110
190,52
194,13
196,33
199,35
202,58
203,34
205,21
208,14
209,17
210,22
211,13
213,55
217,29
218,48
220,21
225,23
226,17
228,13
229,34
230,113
232,37
233,27
234,19
235,68
236,26
237,627
238,50
240,25
242,29
243,23
245,41
247,11
248,119
249,12
250,43
252,22
254,15
257,11
259,35
261,129
263,17
264,35
266,47
267,12
268,48
269,15
271,15
272,18
274,21
276,38
277,11
278,35
279,20
283,16
284,125
285,17
287,21
288,22
297,16
300,15
301,107
303,41
305,23
306,17
307,49
311,21
312,16
313,39
314,20
315,79
317,13
320,14
323,31
326,56
327,16
328,12
330,24
335,76
339,12
340,81
342,12
346,20
347,14
348,13
350,32
352,22
355,13
357,18
361,11
362,14
364,42
367,37
368,16
370,27
371,13
378,33
380,30
381,14
383,11
385,69
388,15
389,14
390,36
393,66
395,17
397,27
400,32
402,27
403,117
405,16
406,29
407,146
409,17
410,51
412,18
415,29
416,24
420,20
423,13
424,23
425,28
428,13
431,21
432,12
437,17
438,46
441,13
442,29
445,16
447,12
449,162
450,16
453,30
454,24
456,35
457,34
458,27
459,13
460,13
464,38
466,18
469,46
473,14
474,20
475,16
479,66
481,36
482,23
483,25
486,52
488,35
492,15
493,28
494,21
497,22
499,20
501,38
503,21
507,90
508,22
509,70
511,22
517,73
518,49
521,19
524,65
528,13
529,174
530,15
531,21
532,104
533,28
534,18
536,22
543,84
548,12
551,14
552,20
553,11
556,41
559,11
560,28
562,50
568,26
570,14
571,44
574,13
584,44
585,18
586,50
587,48
588,17
590,61
592,23
594,16
597,21
603,16
604,22
606,48
608,104
611,21
613,17
616,44
617,41
618,17
623,18
624,35
625,46
629,38
631,63
632,37
636,25
637,36
638,59
639,18
641,46
642,79
643,12
646,14
647,16
648,44
652,25
653,26
655,11
657,63
659,12
660,29
661,37
662,11
664,13
667,25
668,51
669,52
675,61
676,36
679,19
680,11
682,37
687,34
691,35
694,57
695,26
696,18
699,20
700,18
706,16
711,22
714,36
718,11
719,12
722,32
725,52
726,11
727,66
728,61
733,16
734,16
737,99
738,25
740,15
742,93
744,14
746,38
748,13
755,75
756,15
758,12
759,20
762,103
763,44
764,40
766,35
768,16
770,16
773,13
775,20
777,19
779,12
780,18
783,12
791,43
793,21
795,17
798,21
802,18
806,19
